data,~-1,-1~0,0~1,1~
-0.485297,0,1,0,0
-0.707255,0,1,0,0
0.620542,0,0,1,0
0.266515,0,0,1,0
-0.812575,0,1,0,0
-0.453045,0,1,0,0
-0.178403,0,1,0,0
1.13989,0,0,0,1
0.680684,0,0,1,0
0.00617967,0,0,1,0
0.0257165,0,0,1,0
0.164367,0,0,1,0
-0.463066,0,1,0,0
-0.673362,0,1,0,0
-0.191124,0,1,0,0
0.456981,0,0,1,0
0.236,0,0,1,0
0.842228,0,0,1,0
-0.730197,0,1,0,0
0.208579,0,0,1,0
0.120142,0,0,1,0
1.54069,0,0,0,1
0.607456,0,0,1,0
0.567392,0,0,1,0
-0.281637,0,1,0,0
-0.465418,0,1,0,0
-0.0753267,0,1,0,0
0.116517,0,0,1,0
-0.343248,0,1,0,0
-0.107344,0,1,0,0
-0.108722,0,1,0,0
0.698053,0,0,1,0
-0.763222,0,1,0,0
-1.89799,1,0,0,0
0.00154108,0,0,1,0
-0.440087,0,1,0,0
1.34726,0,0,0,1
1.20266,0,0,0,1
0.654088,0,0,1,0
-0.190073,0,1,0,0
0.153484,0,0,1,0
0.597866,0,0,1,0
-0.0944659,0,1,0,0
-0.0326782,0,1,0,0
-0.985844,0,1,0,0
0.0336453,0,0,1,0
0.0277198,0,0,1,0
-1.7703,1,0,0,0
-1.28467,1,0,0,0
0.78865,0,0,1,0
-0.106139,0,1,0,0
-0.582618,0,1,0,0
-1.18645,1,0,0,0
0.0299958,0,0,1,0
2.05558,0,0,0,1
1.2403,0,0,0,1
1.09094,0,0,0,1
-1.11812,1,0,0,0
0.463028,0,0,1,0
0.457217,0,0,1,0
-0.567051,0,1,0,0
-0.94769,0,1,0,0
-0.388292,0,1,0,0
-0.295917,0,1,0,0
1.44561,0,0,0,1
-1.00906,1,0,0,0
-2.04202,1,0,0,0
-2.50651,1,0,0,0
-0.528783,0,1,0,0
-3.31518,1,0,0,0
-3.1054,1,0,0,0
3.84753,0,0,0,1
-3.48601,1,0,0,0
2.40544,0,0,0,1
-1.82276,1,0,0,0
-3.17228,1,0,0,0
-4.26882,1,0,0,0
1.45505,0,0,0,1
-3.51119,1,0,0,0
-4.62136,1,0,0,0
-3.28535,1,0,0,0
-4.88529,1,0,0,0
2.55355,0,0,0,1
-0.922874,0,1,0,0
-2.50179,1,0,0,0
3.84,0,0,0,1
7.20595,0,0,0,1
4.27157,0,0,0,1
-1.10632,1,0,0,0
-0.724953,0,1,0,0
1.57715,0,0,0,1
-2.58463,1,0,0,0
-4.02277,1,0,0,0
0.0948987,0,0,1,0
-0.520567,0,1,0,0
5.7166,0,0,0,1
0.894654,0,0,1,0
1.72325,0,0,0,1
0.64033,0,0,1,0
-0.964259,0,1,0,0
-0.8375,0,1,0,0
2.29213,0,0,0,1
-1.41889,1,0,0,0
1.36992,0,0,0,1
0.58235,0,0,1,0
-1.06664,1,0,0,0
-1.90274,1,0,0,0
1.06681,0,0,0,1
0.0974487,0,0,1,0
0.408551,0,0,1,0
1.88214,0,0,0,1
1.66615,0,0,0,1
-0.565557,0,1,0,0
-2.61831,1,0,0,0
2.58659,0,0,0,1
1.81073,0,0,0,1
0.390976,0,0,1,0
-1.33399,1,0,0,0
-0.00213341,0,1,0,0
0.0461698,0,0,1,0
-0.258911,0,1,0,0
1.85047,0,0,0,1
-0.0734228,0,1,0,0
1.16405,0,0,0,1
-0.525022,0,1,0,0
0.337452,0,0,1,0
1.32932,0,0,0,1
1.5355,0,0,0,1
1.71107,0,0,0,1
0.900992,0,0,1,0
0.473503,0,0,1,0
1.20775,0,0,0,1
2.13519,0,0,0,1
1.04257,0,0,0,1
-1.18881,1,0,0,0
2.25047,0,0,0,1
0.0597206,0,0,1,0
-0.850583,0,1,0,0
-0.396619,0,1,0,0
-3.35215,1,0,0,0
0.240694,0,0,1,0
-1.00735,1,0,0,0
2.76033,0,0,0,1
-0.680636,0,1,0,0
0.679082,0,0,1,0
-0.719765,0,1,0,0
1.2632,0,0,0,1
-0.419909,0,1,0,0
-1.12302,1,0,0,0
0.612441,0,0,1,0
-0.755064,0,1,0,0
0.359688,0,0,1,0
0.0143325,0,0,1,0
-0.696656,0,1,0,0
0.379713,0,0,1,0
0.333946,0,0,1,0
1.38144,0,0,0,1
-0.74301,0,1,0,0
-0.174848,0,1,0,0
0.412925,0,0,1,0
0.25223,0,0,1,0
0.177315,0,0,1,0
0.822031,0,0,1,0
0.39465,0,0,1,0
-0.438235,0,1,0,0
-0.15565,0,1,0,0
0.0760166,0,0,1,0
0.0103958,0,0,1,0
-1.29784,1,0,0,0
1.06273,0,0,0,1
-0.840681,0,1,0,0
-0.242418,0,1,0,0
-0.985584,0,1,0,0
-1.43711,1,0,0,0
1.96906,0,0,0,1
0.446745,0,0,1,0
-0.0356311,0,1,0,0
-0.168797,0,1,0,0
0.319743,0,0,1,0
1.07498,0,0,0,1
1.65258,0,0,0,1
0.86735,0,0,1,0
-0.576402,0,1,0,0
-0.39535,0,1,0,0
-0.432384,0,1,0,0
0.0245691,0,0,1,0
0.083377,0,0,1,0
-0.475879,0,1,0,0
1.43821,0,0,0,1
0.06157,0,0,1,0
0.232137,0,0,1,0
-0.337773,0,1,0,0
-0.366559,0,1,0,0
-0.248453,0,1,0,0
0.74258,0,0,1,0
1.13236,0,0,0,1
-1.67557,1,0,0,0
0.0655001,0,0,1,0
0.187157,0,0,1,0
-0.956921,0,1,0,0
0.986551,0,0,1,0
-0.339923,0,1,0,0
1.36939,0,0,0,1
0.0327339,0,0,1,0
-0.0580217,0,1,0,0
-0.0367609,0,1,0,0
-0.40753,0,1,0,0
-0.322877,0,1,0,0
-0.132886,0,1,0,0
0.010037,0,0,1,0
0.752157,0,0,1,0
0.079254,0,0,1,0
0.291961,0,0,1,0
-1.25185,1,0,0,0
0.47389,0,0,1,0
-0.173951,0,1,0,0
0.712948,0,0,1,0
-0.630319,0,1,0,0
1.00501,0,0,0,1
0.882824,0,0,1,0
-0.52762,0,1,0,0
0.335585,0,0,1,0
-0.516481,0,1,0,0
0.0118453,0,0,1,0
-0.297467,0,1,0,0
0.278081,0,0,1,0
0.18765,0,0,1,0
0.117223,0,0,1,0
-0.380808,0,1,0,0
0.140788,0,0,1,0
-0.161009,0,1,0,0
-0.611452,0,1,0,0
-0.0186148,0,1,0,0
-0.863616,0,1,0,0
0.647157,0,0,1,0
-0.900362,0,1,0,0
2.20175,0,0,0,1
0.66309,0,0,1,0
1.26186,0,0,0,1
2.04608,0,0,0,1
2.11024,0,0,0,1
0.232625,0,0,1,0
1.16795,0,0,0,1
-0.132507,0,1,0,0
