datetime,start,high,low,finish,value
2001/7/13,12600,12600,12300,12300,216.63
2001/7/16,12360,12420,12270,12320,42.2
2001/7/17,12170,12200,12110,12150,80.41
2001/7/18,12150,12220,11840,11860,152.21
2001/7/19,11820,11980,11820,11920,228.56
2001/7/23,11950,11950,11520,11600,112.01
2001/7/24,11550,11900,11540,11900,123.44
2001/7/25,11730,12040,11730,11860,128.06
2001/7/26,11900,11950,11810,11860,290.31
2001/7/27,11790,11940,11690,11810,1322.06
2001/7/30,11900,11920,11530,11570,408.55
2001/7/31,11650,11890,11650,11840,174.79
2001/8/1,11980,11980,11820,11960,282.3
2001/8/2,12130,12420,12120,12400,419.6
2001/8/3,12310,12370,12240,12280,221.23
2001/8/6,12170,12320,12100,12220,195.58
2001/8/7,12100,12390,12070,12330,252.52
2001/8/8,12280,12280,12130,12150,263.65
2001/8/9,11990,12020,11750,11760,292.79
2001/8/10,11830,11870,11710,11750,359.37
2001/8/13,11650,11650,11400,11480,232.83
2001/8/14,11620,11930,11600,11920,251.04
2001/8/15,11830,11840,11650,11790,181.14
2001/8/16,11480,11590,11440,11520,220.02
2001/8/17,11570,11580,11420,11470,174.39
2001/8/20,11300,11350,11200,11270,170.89
2001/8/21,11320,11370,11150,11280,135.74
2001/8/22,11190,11490,11170,11380,184.27
2001/8/23,11430,11430,11100,11180,228.95
2001/8/24,11200,11250,11090,11180,227.96
2001/8/27,11380,11380,11250,11250,114.31
2001/8/28,11220,11260,11060,11180,137.36
2001/8/29,11100,11130,10960,11000,243.58
2001/8/30,10920,10980,10800,10920,233.88
2001/8/31,10750,10850,10680,10710,210.84
2001/9/3,10740,10770,10400,10500,170.45
2001/9/4,10420,10740,10320,10650,388.71
2001/9/5,10580,10640,10440,10630,143.6
2001/9/6,10550,10810,10520,10660,239.41
2001/9/7,10460,10570,10400,10510,186.84
2001/9/10,10300,10450,10220,10250,258.48
2001/9/11,10260,10350,10200,10280,186.78
2001/9/12,9440,9760,9280,9300,487.26
2001/9/13,9550,9690,9460,9550,484.92
2001/9/14,9650,10050,9580,10050,260.69
2001/9/17,9600,9650,9430,9550,222.06
2001/9/18,9790,9950,9660,9660,199.07
2001/9/19,9760,10060,9740,9910,164.91
2001/9/20,9720,9830,9680,9810,312.15
2001/9/21,9510,9600,9380,9570,243.94
2001/9/25,9910,9910,9610,9660,185.1
2001/9/26,9710,9720,9570,9650,147.4
2001/9/27,9640,9740,9590,9680,125.11
2001/9/28,9840,9950,9720,9720,310.26
2001/10/1,9780,9990,9600,9990,249.98
2001/10/2,9940,10130,9870,10120,190.46
2001/10/3,10210,10230,9990,9990,228
2001/10/4,10090,10280,10080,10200,453.02
2001/10/5,10210,10280,10060,10230,202.74
2001/10/9,10150,10150,10030,10040,220.68
2001/10/10,10000,10050,9940,9960,142.92
2001/10/11,10170,10370,10120,10350,235.05
2001/10/12,10550,10640,10460,10610,361.62
2001/10/15,10460,10540,10440,10500,88.44
2001/10/16,10450,10720,10420,10690,214.95
2001/10/17,10720,10820,10590,10780,335.79
2001/10/18,10650,10680,10500,10560,170.3
2001/10/19,10490,10620,10450,10540,109.88
2001/10/22,10550,10610,10530,10560,125.46
2001/10/23,10760,10900,10690,10900,184.33
2001/10/24,10800,10990,10790,10800,308.85
2001/10/25,10860,11050,10850,10910,334.69
2001/10/26,11040,11040,10800,10810,275.38
2001/10/29,10830,10830,10650,10650,152.94
2001/10/30,10460,10560,10450,10500,173.7
2001/10/31,10450,10510,10390,10390,128.46
2001/11/1,10500,10530,10330,10360,129.09
2001/11/2,10560,10590,10340,10380,335.1
2001/11/5,10450,10470,10370,10470,86.13
2001/11/6,10600,10660,10510,10640,128.31
2001/11/7,10640,10650,10330,10330,205.04
2001/11/8,10380,10450,10290,10380,178.48
2001/11/9,10450,10470,10230,10230,231.1
2001/11/12,10240,10280,10130,10140,237.98
2001/11/13,10070,10080,9970,10060,249.79
2001/11/14,10240,10250,10100,10120,304.68
2001/11/15,10170,10500,10170,10470,312.11
2001/11/16,10530,10880,10470,10670,430.94
2001/11/19,10650,10880,10610,10740,190.73
2001/11/20,10810,10830,10570,10640,152.03
2001/11/21,10540,10820,10520,10650,200.34
2001/11/22,10650,10720,10550,10700,208.98
2001/11/26,10860,11110,10860,11090,340.41
2001/11/27,11000,11220,10950,10990,204.69
2001/11/28,10870,10960,10700,10700,196.68
2001/11/29,10630,10700,10540,10660,204.79
2001/11/30,10730,10730,10560,10700,180.98
2001/12/3,10700,10710,10380,10400,256.66
2001/12/4,10450,10490,10350,10430,133.62
2001/12/5,10600,10740,10540,10720,131.63
2001/12/6,10980,11060,10820,10910,310.88
2001/12/7,10840,10930,10780,10850,73.09
2001/12/10,10750,10750,10590,10610,82.68
2001/12/11,10550,10620,10480,10520,122.37
2001/12/12,10580,10820,10520,10800,194.46
2001/12/13,10700,10710,10430,10440,203.19
2001/12/14,10350,10610,10320,10520,191.73
2001/12/17,10450,10450,10300,10350,92.16
2001/12/18,10480,10580,10340,10400,118.65
