D,-1,-1~0,0~1,1~
-0.309439,0,1,0,0
0.148621,0,0,1,0
2.058466,0,0,0,1
0.087478,0,0,1,0
0.925935,0,0,1,0
-0.841112,0,1,0,0
0.495004,0,0,1,0
-0.398821,0,1,0,0
0.860901,0,0,1,0
-1.865992,1,0,0,0
0.513330,0,0,1,0
1.806856,0,0,0,1
0.096384,0,0,1,0
-0.108956,0,1,0,0
-0.257011,0,1,0,0
0.899611,0,0,1,0
0.523339,0,0,1,0
-0.718749,0,1,0,0
0.802388,0,0,1,0
0.222267,0,0,1,0
-0.067747,0,1,0,0
0.014644,0,0,1,0
-0.072348,0,1,0,0
-0.848422,0,1,0,0
1.508555,0,0,0,1
-0.231905,0,1,0,0
-0.650366,0,1,0,0
0.747139,0,0,1,0
-0.611823,0,1,0,0
0.504343,0,0,1,0
-1.117692,1,0,0,0
1.653935,0,0,0,1
-0.166666,0,1,0,0
1.435252,0,0,0,1
0.107128,0,0,1,0
-0.288020,0,1,0,0
0.020171,0,0,1,0
0.732060,0,0,1,0
-0.856674,0,1,0,0
0.036387,0,0,1,0
0.153483,0,0,1,0
0.362384,0,0,1,0
-1.134687,1,0,0,0
-1.559694,1,0,0,0
0.687047,0,0,1,0
1.153294,0,0,0,1
-0.597449,0,1,0,0
0.737940,0,0,1,0
-1.129155,1,0,0,0
-1.181621,1,0,0,0
0.357300,0,0,1,0
1.779749,0,0,0,1
-0.248629,0,1,0,0
1.075211,0,0,0,1
0.460193,0,0,1,0
0.414844,0,0,1,0
-0.170651,0,1,0,0
-0.114710,0,1,0,0
1.130432,0,0,0,1
0.197005,0,0,1,0
0.573388,0,0,1,0
0.262295,0,0,1,0
0.056846,0,0,1,0
0.135855,0,0,1,0
-1.776003,1,0,0,0
-0.802653,0,1,0,0
-1.194711,1,0,0,0
0.708427,0,0,1,0
0.924597,0,0,1,0
1.223074,0,0,0,1
-2.433045,1,0,0,0
0.892454,0,0,1,0
1.016819,0,0,0,1
-1.764042,1,0,0,0
0.192012,0,0,1,0
0.611006,0,0,1,0
-1.464848,1,0,0,0
-1.724589,1,0,0,0
-6.182103,1,0,0,0
-10.553930,1,0,0,0
5.677639,0,0,0,1
-1.441102,1,0,0,0
2.723297,0,0,0,1
4.361695,0,0,0,1
-1.653261,1,0,0,0
-0.153024,0,1,0,0
1.071754,0,0,0,1
-0.604015,0,1,0,0
-0.205203,0,1,0,0
2.639897,0,0,0,1
0.476986,0,0,1,0
-0.478826,0,1,0,0
0.108154,0,0,1,0
-1.063289,1,0,0,0
-0.324263,0,1,0,0
0.068440,0,0,1,0
1.847062,0,0,0,1
-0.495285,0,1,0,0
-1.691826,1,0,0,0
0.899190,0,0,1,0
0.132144,0,0,1,0
-0.646374,0,1,0,0
-0.363541,0,1,0,0
-1.209839,1,0,0,0
1.756059,0,0,0,1
0.821804,0,0,1,0
-0.036751,0,1,0,0
-0.105864,0,1,0,0
-1.171112,1,0,0,0
1.392967,0,0,0,1
1.629210,0,0,0,1
1.568163,0,0,0,1
-1.449391,1,0,0,0
-0.657460,0,1,0,0
0.248917,0,0,1,0
0.463399,0,0,1,0
-1.496406,1,0,0,0
-0.698604,0,1,0,0
-0.937630,0,1,0,0
0.091227,0,0,1,0
0.993628,0,0,1,0
-0.427028,0,1,0,0
-0.142818,0,1,0,0
-1.524399,1,0,0,0
0.174830,0,0,1,0
-0.572851,0,1,0,0
1.476936,0,0,0,1
-0.419464,0,1,0,0
-0.178227,0,1,0,0
1.985916,0,0,0,1
0.266975,0,0,1,0
-1.693178,1,0,0,0
-0.657560,0,1,0,0
-1.178444,1,0,0,0
0.667359,0,0,1,0
0.068938,0,0,1,0
0.187211,0,0,1,0
0.499517,0,0,1,0
-0.696105,0,1,0,0
1.053957,0,0,0,1
0.277868,0,0,1,0
-1.702889,1,0,0,0
-0.636256,0,1,0,0
0.031224,0,0,1,0
1.126109,0,0,0,1
1.794668,0,0,0,1
-0.339474,0,1,0,0
0.854141,0,0,1,0
-1.037332,1,0,0,0
0.737822,0,0,1,0
1.536735,0,0,0,1
0.192197,0,0,1,0
0.529544,0,0,1,0
0.983166,0,0,1,0
0.073959,0,0,1,0
1.103243,0,0,0,1
-0.112480,0,1,0,0
0.661204,0,0,1,0
-0.672736,0,1,0,0
-1.426187,1,0,0,0
0.374975,0,0,1,0
-0.271195,0,1,0,0
0.385962,0,0,1,0
-0.849669,0,1,0,0
1.174762,0,0,0,1
0.044866,0,0,1,0
1.215944,0,0,0,1
-0.810301,0,1,0,0
0.474726,0,0,1,0
-0.500403,0,1,0,0
-1.451558,1,0,0,0
-0.690000,0,1,0,0
1.342206,0,0,0,1
-1.208428,1,0,0,0
-2.107251,1,0,0,0
0.228699,0,0,1,0
-3.719776,1,0,0,0
-2.175515,1,0,0,0
-1.682639,1,0,0,0
1.053832,0,0,0,1
-0.628404,0,1,0,0
-0.202859,0,1,0,0
1.368745,0,0,0,1
0.231329,0,0,1,0
-0.550868,0,1,0,0
-1.253138,1,0,0,0
-2.510348,1,0,0,0
-1.044935,1,0,0,0
1.215558,0,0,0,1
-1.069499,1,0,0,0
1.536528,0,0,0,1
0.289773,0,0,1,0
0.608896,0,0,1,0
1.158589,0,0,0,1
0.014517,0,0,1,0
1.179199,0,0,0,1
-1.214678,1,0,0,0
-1.857726,1,0,0,0
-2.207189,1,0,0,0
2.011972,0,0,0,1
0.339023,0,0,1,0
-0.630720,0,1,0,0
-2.311720,1,0,0,0
0.947552,0,0,1,0
-1.137108,1,0,0,0
1.764264,0,0,0,1
2.252889,0,0,0,1
-1.612335,1,0,0,0
0.228407,0,0,1,0
-2.069524,1,0,0,0
-2.174349,1,0,0,0
2.816057,0,0,0,1
0.066205,0,0,1,0
0.993310,0,0,1,0
-0.010808,0,1,0,0
-1.779361,1,0,0,0
-1.045703,1,0,0,0
-0.864932,0,1,0,0
1.658587,0,0,0,1
0.980995,0,0,1,0
1.952905,0,0,0,1
-0.396405,0,1,0,0
0.965220,0,0,1,0
-0.853314,0,1,0,0
1.504804,0,0,0,1
-1.550627,1,0,0,0
0.350380,0,0,1,0
-1.030370,1,0,0,0
-0.037557,0,1,0,0
1.902211,0,0,0,1
-0.923463,0,1,0,0
-0.157947,0,1,0,0
2.035445,0,0,0,1
1.388328,0,0,0,1
-0.685932,0,1,0,0
-1.700751,1,0,0,0
-2.208128,1,0,0,0
1.863109,0,0,0,1
-0.389831,0,1,0,0
-1.272715,1,0,0,0
1.154532,0,0,0,1
-2.908370,1,0,0,0
0.160807,0,0,1,0
1.047986,0,0,0,1
-0.717953,0,1,0,0
-0.922151,0,1,0,0
0.194605,0,0,1,0
-1.234956,1,0,0,0
-0.318100,0,1,0,0
-0.401632,0,1,0,0
-1.798734,1,0,0,0
-0.063323,0,1,0,0
1.562259,0,0,0,1
2.296595,0,0,0,1
-0.509682,0,1,0,0
1.929781,0,0,0,1
0.539352,0,0,1,0
0.604257,0,0,1,0
-1.389381,1,0,0,0
1.714368,0,0,0,1
-0.660270,0,1,0,0
-1.478665,1,0,0,0
1.374813,0,0,0,1
-1.167239,1,0,0,0
-0.393785,0,1,0,0
-1.664017,1,0,0,0
0.290659,0,0,1,0
-1.256881,1,0,0,0
0.486497,0,0,1,0
1.481441,0,0,0,1
-0.766199,0,1,0,0
1.002717,0,0,0,1
-0.457350,0,1,0,0
-0.200691,0,1,0,0
-0.293585,0,1,0,0
0.672231,0,0,1,0
1.238988,0,0,0,1
-0.834106,0,1,0,0
-1.158720,1,0,0,0
0.380320,0,0,1,0
0.304195,0,0,1,0
-0.737345,0,1,0,0
1.364599,0,0,0,1
-1.431281,1,0,0,0
1.050803,0,0,0,1
0.994280,0,0,1,0
1.042030,0,0,0,1
1.466266,0,0,0,1
-0.005247,0,1,0,0
0.221651,0,0,1,0
1.119598,0,0,0,1
-0.385208,0,1,0,0
-0.093226,0,1,0,0
-0.544833,0,1,0,0
0.107585,0,0,1,0
0.082707,0,0,1,0
0.760861,0,0,1,0
-0.505706,0,1,0,0
1.101351,0,0,0,1
-0.130814,0,1,0,0
1.099749,0,0,0,1
-0.148073,0,1,0,0
-0.611740,0,1,0,0
0.581299,0,0,1,0
0.587727,0,0,1,0
2.300794,0,0,0,1
-0.240167,0,1,0,0
1.581173,0,0,0,1
1.075427,0,0,0,1
-0.232684,0,1,0,0
0.961432,0,0,1,0
0.435109,0,0,1,0
0.539932,0,0,1,0
-0.139418,0,1,0,0
0.919561,0,0,1,0
0.007413,0,0,1,0
-0.163218,0,1,0,0
0.717601,0,0,1,0
-0.802293,0,1,0,0
-0.628545,0,1,0,0
-0.638853,0,1,0,0
2.014403,0,0,0,1
1.645828,0,0,0,1
-0.401621,0,1,0,0
0.093224,0,0,1,0
1.529834,0,0,0,1
0.723950,0,0,1,0
0.064700,0,0,1,0
0.120043,0,0,1,0
-0.547230,0,1,0,0
0.402418,0,0,1,0
-1.141596,1,0,0,0
0.067628,0,0,1,0
2.364788,0,0,0,1
-0.707743,0,1,0,0
-0.665650,0,1,0,0
-0.308760,0,1,0,0
0.260925,0,0,1,0
-0.588341,0,1,0,0
-2.292443,1,0,0,0
-0.533401,0,1,0,0
-0.810435,0,1,0,0
-1.467628,1,0,0,0
-0.086319,0,1,0,0
-0.831192,0,1,0,0
0.698294,0,0,1,0
1.188480,0,0,0,1
-1.736364,1,0,0,0
-0.062611,0,1,0,0
2.140053,0,0,0,1
-0.815949,0,1,0,0
